Store_ID,Store_Type,City
1,Standard,Los Angeles
2,Standard,Phoenix
3,Flagship,Chicago
4,Standard,New York
5,Express,Phoenix
6,Flagship,Phoenix
7,Express,Phoenix
8,Flagship,Phoenix
9,Flagship,New York
10,Standard,Houston
11,Standard,Los Angeles
12,Standard,Phoenix
13,Express,Los Angeles
14,Standard,Los Angeles
15,Standard,Phoenix
16,Flagship,Houston
17,Standard,Los Angeles
18,Standard,Chicago
19,Standard,Los Angeles
20,Standard,Phoenix
21,Flagship,New York
22,Standard,Los Angeles
23,Flagship,Houston
24,Express,Chicago
25,Standard,Chicago
26,Standard,New York
27,Standard,New York
28,Flagship,Los Angeles
29,Standard,Phoenix
30,Standard,Houston
31,Express,Chicago
32,Flagship,New York
33,Flagship,Houston
34,Express,Phoenix
35,Flagship,Chicago
36,Standard,Chicago
37,Standard,Phoenix
38,Express,Chicago
39,Flagship,Phoenix
40,Flagship,Chicago
41,Flagship,Los Angeles
42,Express,Phoenix
43,Standard,Houston
44,Express,Los Angeles
45,Standard,Houston
46,Express,Chicago
47,Standard,Houston
48,Flagship,Los Angeles
49,Flagship,Phoenix
50,Flagship,New York
51,Express,Houston
52,Express,New York
53,Express,Houston
54,Flagship,Houston
55,Standard,Phoenix
56,Flagship,Chicago
57,Flagship,Los Angeles
58,Standard,Los Angeles
59,Standard,Los Angeles
60,Standard,Chicago
61,Standard,New York
62,Flagship,Los Angeles
63,Express,New York
64,Flagship,Chicago
65,Standard,Chicago
66,Express,Phoenix
67,Express,Los Angeles
68,Flagship,Phoenix
69,Flagship,Los Angeles
70,Flagship,Chicago
71,Express,Chicago
72,Express,Houston
73,Express,Houston
74,Standard,Chicago
75,Standard,Chicago
76,Flagship,New York
77,Express,New York
78,Flagship,Phoenix
79,Express,Houston
80,Flagship,Houston
81,Standard,Chicago
82,Express,Chicago
83,Standard,Phoenix
84,Express,Houston
85,Flagship,New York
86,Express,Los Angeles
87,Standard,Phoenix
88,Express,Los Angeles
89,Flagship,New York
90,Express,New York
91,Standard,Los Angeles
92,Flagship,Phoenix
93,Standard,Los Angeles
94,Express,Phoenix
95,Standard,Phoenix
96,Express,Chicago
97,Flagship,Houston
98,Standard,Houston
99,Standard,New York
100,Express,Chicago
