Ticket_ID,Date,Customer_ID,Department_ID,Resolution_Time_Hrs,Satisfaction_Score
1,2022-05-10,4175,1,7.1,5
2,2022-11-19,2877,2,38.0,2
3,2023-03-24,2992,2,38.9,1
4,2021-05-11,1944,2,60.6,4
5,2020-06-27,456,2,57.1,4
6,2021-09-25,3919,2,27.8,1
7,2023-01-06,3842,3,4.9,3
8,2021-11-14,4115,1,59.3,5
9,2019-09-26,2103,2,45.1,4
10,2022-05-07,4184,2,70.2,2
11,2023-03-07,4175,3,2.2,5
12,2023-12-03,4676,4,48.1,4
13,2019-07-31,2108,2,11.7,5
14,2022-07-31,665,3,34.6,4
15,2023-09-18,2416,3,13.1,4
16,2019-07-29,210,1,28.9,4
17,2020-07-26,427,4,22.6,2
18,2019-01-12,3792,3,33.9,1
19,2022-08-28,2794,2,6.1,1
20,2023-07-25,3478,4,2.9,4
21,2019-04-29,1637,1,64.4,1
22,2020-11-07,1409,3,55.6,4
23,2020-06-01,1453,1,22.0,4
24,2019-09-09,2369,3,1.8,5
25,2021-12-26,4772,4,30.6,5
26,2022-10-09,1584,4,19.1,3
27,2023-09-15,292,2,38.3,5
28,2022-07-30,4677,4,7.0,1
29,2023-09-01,1331,4,37.2,4
30,2020-01-16,2824,4,33.1,3
31,2023-06-07,1443,1,48.7,3
32,2022-04-08,1259,4,11.1,4
33,2021-12-05,728,2,19.8,1
34,2019-08-03,113,4,18.1,5
35,2020-06-05,4235,1,65.4,1
36,2022-09-23,2181,1,55.6,2
37,2022-12-08,987,1,35.8,4
38,2019-11-08,4695,1,7.4,2
39,2020-08-08,4691,1,65.4,4
40,2021-07-06,957,3,22.1,1
41,2019-12-06,4471,4,27.7,3
42,2023-07-06,817,4,71.8,2
43,2019-09-21,527,2,30.6,1
44,2019-10-03,2689,3,71.8,3
45,2020-03-22,874,4,30.8,3
46,2021-06-24,939,1,1.1,2
47,2023-01-17,3558,4,34.5,1
48,2023-04-02,4652,4,26.9,2
49,2020-11-27,3083,4,38.2,2
50,2021-05-24,4818,4,20.9,5
51,2019-03-27,1692,3,5.2,1
52,2019-10-13,2775,4,1.1,4
53,2019-08-23,84,2,34.3,2
54,2023-09-13,3370,3,60.9,3
55,2022-10-11,4196,3,17.1,5
56,2019-05-27,2963,3,28.5,5
57,2022-04-06,2912,4,9.6,4
58,2021-06-23,2683,4,23.3,1
59,2019-05-14,4560,4,54.4,2
60,2019-03-27,4823,2,29.8,4
61,2022-08-20,4058,4,41.1,4
62,2022-12-07,4767,1,47.3,5
63,2019-11-06,2753,1,5.1,4
64,2022-04-13,3273,4,24.6,2
65,2019-08-17,857,2,69.6,1
66,2021-02-20,78,4,7.3,4
67,2022-03-21,1974,2,34.2,1
68,2019-05-28,3331,3,70.1,2
69,2021-12-11,174,3,42.2,4
70,2020-12-18,1944,1,56.5,3
71,2022-02-12,542,2,30.8,3
72,2021-04-30,2246,4,32.7,3
73,2022-06-03,153,2,20.6,2
74,2020-01-31,4913,4,44.8,4
75,2020-01-22,4446,3,14.7,5
76,2021-08-07,1044,2,35.3,4
77,2020-04-01,1723,1,70.6,2
78,2023-11-16,2833,4,36.8,4
79,2019-01-08,71,1,70.9,2
80,2021-01-09,4097,3,68.0,2
81,2021-01-02,2254,3,50.1,5
82,2020-02-22,2406,3,45.7,4
83,2023-06-25,933,2,59.3,1
84,2022-11-16,4374,1,70.7,4
85,2021-08-27,692,1,12.5,1
86,2021-04-14,1901,3,53.5,3
87,2023-03-04,3699,1,41.5,3
88,2022-11-05,1511,1,32.4,1
89,2022-04-29,4849,3,50.3,2
90,2023-08-09,1473,3,40.7,1
91,2022-09-09,4823,3,56.4,2
92,2023-11-21,441,2,35.0,1
93,2021-10-01,1420,3,26.3,2
94,2021-04-14,2192,4,51.4,4
95,2021-04-19,3712,4,53.1,5
96,2023-03-31,4463,3,68.7,3
97,2021-01-26,1199,4,10.7,3
98,2020-03-20,107,3,50.5,2
99,2021-07-09,1497,4,56.4,3
100,2021-08-21,608,2,37.6,2
101,2019-03-20,2233,4,61.3,5
102,2023-06-27,2619,1,58.5,4
103,2021-05-16,2189,3,51.2,5
104,2022-03-02,4035,1,71.1,4
105,2020-12-08,1702,1,63.6,2
106,2022-09-28,2070,4,22.6,2
107,2023-10-14,2824,3,36.5,1
108,2023-12-14,105,4,10.3,2
109,2021-02-24,3130,1,66.9,1
110,2022-02-04,640,1,26.3,4
111,2023-12-13,4508,4,27.1,4
112,2020-07-14,1120,4,61.5,1
113,2023-07-14,1834,1,59.4,3
114,2020-09-01,4455,2,2.3,1
115,2023-05-19,4860,2,66.8,4
116,2019-10-25,1036,3,23.3,5
117,2019-06-20,4950,4,10.1,2
118,2022-12-09,315,3,18.1,2
119,2020-06-25,4112,1,18.9,3
120,2022-09-10,291,4,44.8,1
121,2022-04-27,2998,3,34.7,3
122,2019-09-22,1445,1,6.6,5
123,2022-12-02,2452,2,31.3,4
124,2019-06-09,615,3,0.7,2
125,2020-02-25,2761,4,5.4,4
126,2019-07-24,1113,3,44.2,1
127,2022-10-02,1072,2,4.8,4
128,2022-11-22,3537,4,40.3,4
129,2019-08-08,4808,1,11.7,5
130,2019-10-10,4394,2,44.7,1
131,2021-09-10,243,1,16.1,1
132,2019-04-02,3698,1,6.3,1
133,2022-02-04,1194,2,50.2,3
134,2020-05-20,4068,3,49.4,5
135,2022-11-25,4475,3,7.5,4
136,2020-07-30,3048,3,19.5,2
137,2022-09-19,4537,2,50.1,4
138,2020-07-04,110,2,4.4,5
139,2021-10-17,4826,4,3.4,3
140,2019-10-01,3445,1,5.6,2
