Date,Employee_ID,Store_ID,Sales_Amount,Target_Amount
2023-06-28,9,4,3455.23,4412.62
2020-08-02,216,1,709.22,4620.04
2020-04-28,67,85,1726.79,3261.64
2021-07-01,268,32,1436.3,1250.71
2020-12-23,32,88,4781.64,4082.88
2022-12-13,380,18,2251.03,1170.87
2019-01-02,393,4,556.74,4112.8
2019-08-17,143,3,4742.71,4592.06
2023-08-23,270,58,3560.48,4495.8
2020-05-05,132,96,3735.62,1176.47
2022-02-04,345,8,2218.75,2468.06
2020-11-07,99,22,1862.77,5979.47
2019-05-21,159,64,1285.31,1929.47
2020-06-19,92,12,522.9,4167.96
2019-05-23,311,8,4325.81,1849.51
2022-05-22,206,32,4009.84,5934.76
2022-07-03,106,34,643.6,2359.74
2023-03-30,119,35,4252.02,5313.63
2019-07-12,390,7,2961.56,1733.42
2019-12-14,380,87,2444.18,2957.81
2021-03-13,133,85,3335.35,2842.92
2021-05-23,336,64,2692.98,2828.88
2019-04-21,346,75,1599.03,5672.78
2022-10-23,342,54,2961.22,2555.43
2022-04-14,100,50,2110.84,5016.65
2020-11-17,107,74,1533.5,3167.47
2022-11-09,352,48,4950.96,4288.23
2019-11-11,365,52,3988.31,5681.84
2019-12-29,1,26,3891.18,5163.24
2020-03-21,124,3,1534.35,1605.58
2023-12-25,194,22,4560.55,4737.39
2019-01-15,77,94,1858.74,2024.84
2021-07-10,238,32,4636.97,3131.6
2021-10-01,357,35,994.58,4468.47
2023-09-09,53,95,4634.56,1188.48
2022-06-05,385,11,1760.8,4979.78
2023-01-02,139,41,1491.29,3064.18
2022-07-03,298,82,4268.38,5560.83
2021-04-25,195,95,3835.27,5430.39
2022-03-18,116,82,2028.45,2141.63
2023-03-21,185,41,1079.9,3211.51
2021-01-23,60,90,1783.45,1722.76
2023-08-10,216,1,1407.96,2597.54
2020-01-02,145,96,1624.02,4447.84
2021-11-25,235,35,2633.18,5369.47
2020-06-15,397,38,3972.76,3639.34
2021-05-11,115,41,1210.24,2975.99
2020-08-31,151,9,3273.99,5012.88
2021-06-17,256,87,1847.57,3071.05
2019-01-01,120,78,881.0,4832.18
2020-05-23,267,100,2676.82,5209.17
2022-03-31,29,88,1004.45,2424.25
2022-08-15,175,14,1572.12,4861.35
2019-02-14,72,4,4970.2,2707.64
2022-06-10,284,90,4401.59,2767.45
2019-03-19,262,23,4839.19,4046.17
2023-01-19,175,98,4709.23,1971.4
2019-12-04,319,41,4199.02,2870.82
2020-01-30,41,20,1282.1,1526.37
2019-07-11,321,38,3228.6,4558.16
2022-10-01,165,31,3662.89,5705.56
2021-06-24,103,24,1756.51,3283.66
2020-12-12,237,40,4585.85,5872.82
2021-01-26,210,55,1464.23,3250.41
2022-03-08,173,87,2172.52,5253.65
2020-09-19,27,22,2868.24,1060.26
2020-01-21,278,37,3325.84,5801.45
2022-06-22,377,95,1693.9,3663.01
