Date,Product_ID,Warehouse_ID,Stock_On_Hand,Safety_Stock
2022-02-19,1487,1,96,63
2022-10-03,867,1,482,82
2020-11-06,1714,5,231,56
2019-03-31,608,3,12,24
2023-07-30,910,9,433,51
2020-11-28,1251,3,414,42
2022-09-01,523,3,198,89
2022-04-16,1802,3,339,67
2020-06-23,1213,1,126,52
2021-01-01,1233,3,421,39
2021-05-18,1037,5,312,21
2019-02-10,1913,8,263,73
2021-01-09,162,7,99,45
2023-09-24,1596,4,13,21
2020-05-16,1517,4,349,85
2021-08-16,1459,4,178,93
2022-03-14,5,8,8,47
2022-05-09,202,8,140,34
2021-07-17,416,2,203,71
2023-10-14,1036,7,193,58
2020-04-05,948,5,37,95
2021-01-01,1421,2,20,33
2021-01-21,1365,3,156,50
2021-07-13,752,7,83,92
2021-06-27,950,6,383,65
2023-05-01,373,6,177,59
2023-04-20,1402,7,191,78
2022-06-30,1249,6,383,45
2020-01-25,1206,2,264,35
2023-06-06,1321,8,270,21
2021-06-01,1840,7,436,82
2019-09-13,1331,6,224,44
2020-12-09,431,5,180,86
2020-03-25,690,6,454,60
2019-01-10,118,3,258,74
2021-04-03,1376,2,342,22
2021-03-08,588,9,21,46
2022-06-19,1070,1,294,33
2022-06-28,227,2,460,52
2021-05-26,1380,10,264,29
2021-10-25,1318,10,417,72
2022-02-16,1264,1,11,90
2021-10-12,348,8,33,59
2023-12-30,141,4,300,43
2020-01-09,204,6,352,29
2021-12-24,1686,5,250,68
2019-05-26,1004,8,305,47
2019-08-12,1666,10,354,52
2022-06-16,861,7,155,66
2019-06-26,845,1,294,32
2023-12-08,995,8,258,63
2021-05-02,1293,4,174,46
2022-07-29,313,7,11,94
2019-03-04,1442,3,42,93
2022-05-25,1939,2,332,48
2021-04-06,137,1,375,97
2021-03-05,1652,10,194,59
2020-11-19,351,5,273,26
2023-01-24,1185,3,110,98
2023-06-22,1691,3,89,91
2019-04-15,173,8,265,96
2022-01-27,1154,1,499,58
2020-05-25,79,2,259,44
2020-01-20,979,1,356,47
