Date,Campaign_ID,Spend,Impressions,Clicks,Leads
2021-03-01,13,1932.13,36352,477,1
2019-07-22,30,990.91,42888,462,66
2022-11-05,18,1666.7,41802,1066,63
2021-12-22,10,1762.2,24820,369,40
2019-08-15,9,215.82,26312,1433,51
2020-04-27,5,1719.86,35060,530,4
2022-03-28,9,610.84,21714,891,84
2020-05-07,25,794.67,18778,1878,65
2019-05-12,3,871.44,42762,1136,45
2019-03-14,28,954.3,20376,353,34
2022-05-05,13,439.62,48901,439,96
2022-07-22,11,577.89,10269,933,44
2020-11-03,25,769.11,12252,182,93
2023-01-02,28,940.32,29871,1215,30
2019-05-07,11,1784.93,30126,1886,95
2021-06-04,20,244.99,41929,1054,54
2023-10-18,13,1621.38,37423,1924,93
2023-05-26,6,234.92,8369,1995,80
2023-10-24,9,1407.18,4415,1495,52
2022-03-23,30,274.86,31690,1780,58
2020-03-30,29,1159.48,47024,1769,39
2021-06-18,11,327.58,40480,641,30
2019-11-03,17,1867.4,45861,1589,64
2019-07-27,12,433.86,27080,151,38
2020-12-04,21,1770.32,42440,1447,57
2023-03-24,20,584.24,25322,1357,76
2020-07-21,13,242.67,35765,1382,45
2020-05-14,1,1154.32,4347,1154,75
2019-11-06,27,782.59,15437,696,74
2023-10-07,6,1414.0,43537,1074,33
2020-01-08,14,969.79,45666,259,4
2019-10-25,23,1359.78,43090,1576,25
2022-09-13,19,1309.32,31959,629,57
2023-08-13,19,1018.65,29464,1987,71
2023-01-16,29,952.51,26645,783,18
2022-07-18,23,1156.58,35738,1590,77
2020-06-05,19,1996.86,31518,1302,82
2021-11-02,14,982.92,11877,1546,71
2020-02-04,19,1461.94,43254,1315,82
2022-05-13,17,1403.83,48824,1615,49
2019-03-24,6,304.24,26576,246,36
2023-10-10,25,951.17,10056,1653,45
2022-02-04,5,537.97,22738,402,31
2023-02-04,16,1025.22,1320,1353,94
2023-06-17,20,1466.13,38516,1414,98
2023-12-13,25,726.43,22835,1014,97
2020-01-23,22,1714.6,24402,1472,19
2022-04-18,11,310.24,18891,1877,61
2019-01-15,15,1764.78,24341,1056,19
2019-12-04,14,1769.61,43589,975,65
2022-12-27,16,1475.49,43669,787,7
2020-04-29,29,363.48,49545,1870,7
2022-01-06,18,137.24,27237,1318,92
2021-02-05,15,273.87,11638,878,37
2020-03-16,6,1428.9,40707,1018,67
2019-05-07,3,1464.19,43099,581,43
2020-01-09,2,1313.97,49308,1437,90
2023-12-14,15,1525.01,36880,1435,73
2022-06-28,8,1387.97,33746,1486,43
2021-07-17,2,669.62,7127,403,90
2020-01-10,30,1401.0,19875,764,11
2020-09-01,22,1291.31,2577,113,91
2023-12-14,30,774.19,3600,771,39
2020-05-19,4,1899.52,43026,1473,43
2022-08-09,27,1808.77,28851,609,40
2022-10-01,14,968.61,4085,1393,72
2022-09-08,20,707.6,13173,806,12
2022-05-29,29,433.36,10769,1280,42
2019-04-10,23,1592.83,6580,1482,6
2019-10-06,2,1152.76,3653,1465,60
2020-05-31,14,981.33,22805,1941,37
2019-10-14,1,1598.3,6799,1416,47
2023-02-01,8,458.89,18117,93,74
2022-05-25,8,364.12,1251,1205,9
2021-11-07,16,347.55,1174,1934,39
2019-04-11,3,1898.17,11188,628,79
2020-06-19,7,1670.16,30016,1598,94
2023-08-07,16,458.46,20699,1374,27
2021-07-19,1,1653.38,40750,1851,67
2019-06-05,4,281.75,41750,707,64
2023-08-05,11,1620.45,49255,888,60
2023-03-01,20,1178.81,3170,1943,14
2019-11-16,18,873.08,9459,329,62
2022-01-02,21,1076.62,30663,1243,68
2019-06-26,9,1272.92,38124,1979,65
2023-05-11,15,1418.44,19661,1038,38
2021-05-16,27,1483.21,11661,1561,92
2020-12-11,2,771.92,42296,229,83
2020-06-30,16,954.1,3112,1662,79
2020-09-14,27,1810.07,20114,668,27
2019-09-17,19,859.48,24847,1898,53
2023-07-13,11,1930.19,21220,70,55
2019-03-09,20,1115.69,21814,1143,43
2019-11-20,23,468.15,48476,755,52
2019-01-09,7,1456.06,26027,1152,43
2022-05-01,7,1457.4,18021,789,86
2022-02-09,2,201.21,42779,56,29
2022-08-28,29,203.38,18330,892,98
2019-09-17,4,1011.44,48616,836,81
2020-06-28,30,1211.86,14614,799,44
2023-03-15,15,1526.53,14468,132,20
2020-07-16,27,963.68,30832,868,70
2022-01-02,22,1988.82,3812,675,90
2021-07-04,12,1444.82,15712,146,35
2022-12-16,1,1272.1,37591,1856,92
2019-04-26,7,1332.03,1125,1519,19
2021-04-16,10,954.78,1891,802,46
2023-09-27,6,1985.08,15139,1496,94
2021-06-20,21,1261.92,34694,1072,72
2020-12-21,26,167.32,39559,611,73
2020-03-08,24,546.23,11584,1021,13
2020-02-15,4,149.87,30827,535,72
2023-06-05,22,769.73,41473,999,73
2019-05-31,28,731.87,13221,922,99
2021-11-30,14,1886.98,45384,1748,18
2021-09-02,22,1787.68,42973,59,92
2020-10-06,30,701.26,47820,134,33
2023-04-19,2,1659.87,2477,1497,52
2023-12-30,8,1863.86,26536,1898,84
2020-01-20,5,1934.79,23775,683,74
2023-12-05,14,342.5,30083,473,79
2019-02-03,25,1747.6,17912,404,14
2023-04-25,26,1347.38,43620,177,35
2019-07-12,2,214.28,12556,1424,56
2020-07-08,28,216.08,48095,911,14
2022-04-01,2,147.15,8255,1672,97
2021-03-19,18,1619.97,13983,857,50
2019-09-16,28,646.92,31815,1227,36
2019-03-23,8,1692.28,44355,1286,7
2019-02-15,6,414.56,29459,1835,8
2019-05-01,23,257.47,43960,803,61
2022-11-12,16,878.98,15442,1942,70
2023-08-16,30,1216.99,12901,407,27
2019-08-23,21,1619.45,2714,704,23
2023-06-07,28,1715.56,45446,1811,36
2019-01-30,27,1084.87,13835,1466,52
2022-01-04,5,1575.71,26251,995,83
2021-11-16,10,214.72,42699,386,75
2019-05-03,6,1539.84,34743,174,21
2019-09-02,8,1627.24,49286,318,47
2022-08-01,8,968.15,1580,1726,14
2020-04-25,8,347.1,46371,1500,18
2019-05-12,10,498.02,23917,800,42
2023-01-25,17,548.78,49090,66,87
2022-03-12,4,471.29,22460,1860,57
2020-05-16,25,930.9,16956,1977,37
2022-09-19,11,1672.66,46500,1408,62
2022-04-14,22,834.78,28748,1709,67
2022-12-25,18,525.8,32958,1172,26
2021-12-01,20,1345.61,22953,279,21
2019-02-20,6,510.28,44430,1444,36
2020-11-30,14,840.41,42278,376,75
2021-09-17,27,1374.77,34997,617,58
2019-11-09,10,758.55,9963,223,65
2020-10-29,1,1202.12,31812,1652,21
2023-05-04,1,1476.93,38962,531,75
2021-08-10,26,1619.8,49116,1943,70
2021-01-18,26,655.11,37720,1714,33
2023-10-16,8,791.47,28084,1915,83
2023-06-28,12,1013.89,1116,806,1
2021-08-25,7,417.92,32595,1601,96
2019-11-28,10,312.32,49474,1154,2
2023-05-10,12,697.52,29308,1622,61
2023-12-08,16,1274.57,37199,1223,55
2022-07-16,11,1109.99,40279,1204,95
2023-05-13,1,658.31,6756,1769,62
2020-08-20,1,671.44,14228,1402,63
2022-01-10,22,417.71,12205,1899,86
2019-01-12,16,623.0,13730,378,52
2022-11-12,23,837.75,14440,1588,80
2021-04-04,4,1345.93,17965,1193,58
2019-12-27,16,1548.19,18534,1023,24
2023-05-15,6,1817.93,9000,1169,27
2023-01-17,22,742.04,12489,1718,99
2021-07-11,25,1645.29,13921,729,77
2019-09-01,6,1222.81,40383,1692,61
2020-06-24,7,1362.37,23832,1242,15
2020-01-21,21,1868.21,29637,1482,89
2020-11-21,5,868.99,20805,644,55
2022-12-06,11,1131.35,9577,516,99
2019-11-04,3,1137.47,21386,1668,70
2020-08-05,7,602.93,6531,454,37
2021-11-01,3,752.2,22282,1385,52
2020-05-09,29,1573.15,1675,886,28
2023-06-21,12,740.13,12437,427,84
2023-08-15,25,272.96,25045,1843,38
2021-04-23,25,1494.63,13605,849,75
2019-04-09,19,304.64,17790,378,66
2022-03-08,1,1918.46,8928,703,63
2021-02-01,29,1300.5,49216,1249,30
2023-11-05,5,1214.6,21360,1704,4
2020-02-25,29,1657.39,1026,1544,30
2023-09-02,15,1385.88,15685,478,60
2023-12-31,12,1561.5,19725,1866,96
2020-07-19,29,1773.19,30409,369,29
2021-10-17,17,1848.78,8634,253,15
2023-10-22,10,224.79,42437,1245,77
2023-10-12,11,1816.31,30080,1561,43
2021-05-15,6,145.46,10059,785,30
2023-07-28,10,1598.18,13836,445,52
2022-09-08,17,477.37,4730,1680,8
2020-09-05,22,1933.26,10543,419,0
