Date,Product_ID,Supplier_ID,Warehouse_ID,Purchase_Qty,Unit_Cost
2021-02-20,1200,35,6,838,279.08
2020-05-28,1714,43,6,567,392.97
2023-08-30,796,2,3,458,352.43
2021-11-13,41,41,10,996,47.19
2019-01-13,515,26,7,806,116.93
2022-01-14,235,2,3,243,29.91
2020-01-30,520,33,5,304,250.35
2019-08-21,1552,15,7,963,324.57
2019-10-02,122,1,1,794,101.31
2023-09-04,1367,32,10,766,132.94
2022-10-05,1169,50,10,557,295.23
2019-09-17,1565,19,9,677,131.97
2020-09-18,1254,14,7,733,127.24
2023-09-13,348,41,8,203,261.59
2019-01-28,74,48,3,100,27.6
2021-08-28,1029,8,1,415,315.56
2020-07-14,1591,12,3,320,47.67
2022-09-09,414,15,5,831,36.52
2023-12-13,1383,50,3,621,217.55
2023-04-11,1331,50,1,655,312.4
2023-06-16,874,44,10,759,184.54
2022-02-18,1701,50,7,632,46.74
2021-07-15,1769,34,8,765,193.78
2020-09-22,907,6,8,241,378.17
2020-11-25,744,27,1,968,240.02
2020-01-26,806,27,6,110,202.21
2020-10-17,1447,27,8,403,60.66
2019-06-25,538,38,10,519,45.76
2019-11-10,126,10,10,603,309.07
2021-01-25,1633,48,10,248,328.02
2022-10-24,1852,43,10,761,35.4
2023-02-07,480,37,1,451,363.62
2023-11-26,1107,27,8,125,221.9
2022-04-04,933,45,9,495,211.65
2019-04-22,1738,28,6,239,273.2
2019-09-26,1039,9,2,527,148.49
2023-05-09,1914,28,3,822,314.13
2023-09-14,1639,31,1,215,350.71
2020-07-02,1066,41,6,920,126.56
2022-04-30,1171,49,7,572,173.28
2021-07-07,1490,4,4,402,61.28
2019-03-24,1483,48,6,916,315.9
2019-02-21,960,50,8,434,123.78
2021-10-26,1133,22,3,264,202.41
2022-06-22,995,33,9,384,25.43
2022-10-31,1030,25,5,458,202.36
2020-10-13,219,20,6,215,18.59
2020-10-12,723,1,2,583,94.98
2022-08-18,1344,16,6,328,29.53
2021-06-26,912,2,3,68,20.71
2019-07-19,424,9,1,371,69.68
2022-07-14,739,13,2,469,158.88
2020-06-05,90,6,6,998,124.2
2019-10-12,1692,49,9,301,105.81
2021-04-26,1403,12,3,161,125.5
2019-05-05,163,41,10,104,12.71
2022-02-06,416,13,1,135,348.66
2023-06-22,1354,8,4,900,394.25
2023-05-20,186,41,7,203,23.09
2021-07-23,1559,1,5,476,246.15
2020-06-01,1779,10,8,428,362.13
2020-07-10,1816,1,1,531,275.12
2023-09-12,438,17,9,899,64.4
2021-09-15,1596,21,8,399,308.1
2019-12-13,1948,43,9,806,370.9
2020-06-29,1816,12,9,525,183.0
2022-12-24,1105,6,7,742,281.25
2021-04-04,1782,2,3,500,248.87
2020-09-15,889,36,3,678,308.44
2021-06-27,840,3,2,264,96.94
2019-06-16,1507,44,4,897,180.38
2019-01-18,1354,18,1,347,82.76
2020-02-02,1934,30,7,708,221.65
2022-03-29,1789,20,1,761,75.28
2023-12-28,161,32,5,449,379.24
2021-02-06,1841,21,2,734,259.98
2021-03-14,953,24,7,550,357.31
2019-04-20,106,20,6,723,208.61
2021-05-10,778,38,9,652,353.98
2022-03-21,925,10,2,598,28.69
2020-02-17,1301,46,4,688,338.95
2023-03-26,1895,6,10,984,232.75
2021-08-20,59,17,9,460,175.57
2022-01-16,157,37,8,295,361.42
2023-05-14,252,2,7,387,128.57
2021-05-18,1696,20,9,711,20.05
2020-10-23,1510,15,9,709,97.81
2022-01-06,1830,29,10,628,82.0
2021-06-12,1252,7,8,215,33.27
2023-03-18,1161,36,6,395,125.26
2019-12-08,1698,47,9,708,353.57
2021-11-13,174,48,10,476,363.69
2022-03-15,221,28,7,423,375.09
2021-02-24,39,25,10,428,356.17
2019-06-30,719,45,2,788,307.75
2019-03-04,215,5,4,354,217.83
2022-02-13,1108,50,9,443,224.58
2021-09-16,674,46,1,407,175.15
2023-02-17,1293,30,7,54,338.03
2021-04-02,1671,30,7,334,304.02
2023-01-30,195,34,7,989,121.22
2022-12-14,684,7,2,147,360.75
2021-09-24,24,50,3,301,229.63
2022-07-16,389,50,7,143,172.18
2022-07-18,818,49,3,113,254.52
2019-11-04,1673,17,1,800,205.4
2023-06-14,1519,5,3,792,374.63
2022-02-14,61,39,1,707,80.88
2021-07-08,255,14,1,642,35.52
2022-12-11,887,9,10,257,29.97
2023-01-14,1920,1,7,400,106.85
2020-09-10,808,19,4,265,399.85
2020-11-10,1693,33,5,449,304.11
2022-02-20,1579,50,6,797,214.67
2023-10-31,228,49,9,956,66.91
2023-03-25,314,18,10,79,63.75
2021-11-04,367,8,10,443,171.15
2020-09-22,1054,2,6,267,119.64
2022-01-17,169,6,3,898,238.35
2020-12-03,1288,38,9,648,161.15
2020-09-09,1423,29,8,436,295.22
2023-09-09,1243,4,9,442,253.63
2019-06-16,1268,46,1,809,201.77
2020-02-28,1717,7,3,603,266.4
2020-06-26,1111,22,3,529,103.89
2022-01-18,790,44,5,122,387.4
2021-07-22,1131,1,8,319,298.37
2020-03-07,1016,17,8,454,201.14
2022-05-31,115,42,1,697,82.45
2023-09-07,240,40,6,990,7.59
2022-08-17,1985,40,8,606,12.81
2019-01-15,384,24,4,590,105.2
2022-09-12,321,44,9,924,218.09
2023-12-17,829,29,10,425,96.35
2019-03-05,544,8,6,216,204.46
2019-11-26,1079,17,7,830,129.87
2022-07-08,1697,50,3,635,146.96
2021-01-19,519,17,3,895,336.97
2021-09-02,1258,38,3,859,74.75
2019-04-19,395,43,5,91,369.64
2020-10-10,970,20,1,116,307.15
2020-11-18,1249,32,3,583,306.42
2021-03-09,1362,17,4,256,362.25
2023-11-10,1927,26,9,370,338.65
2021-09-29,1678,30,9,434,29.71
2023-09-03,1472,44,10,953,364.73
2021-01-23,1672,48,1,988,252.12
2022-12-04,1203,21,4,103,180.58
2021-02-05,641,48,10,769,12.28
2020-06-24,992,23,4,575,351.65
2022-04-12,729,26,5,939,329.51
2022-06-01,925,13,5,831,229.3
2022-10-25,1867,3,9,971,56.26
2020-01-18,1130,1,6,360,210.63
2020-08-26,567,22,5,261,160.85
2020-02-18,1838,45,5,255,227.84
2021-11-15,1670,21,5,406,64.69
2023-06-10,292,50,4,792,198.6
2020-09-12,862,43,9,551,292.15
2020-02-14,943,38,8,670,187.32
2019-06-22,462,20,5,812,317.56
2021-04-12,100,25,10,743,130.35
2020-07-05,1069,18,3,939,37.31
2019-03-28,1710,45,4,79,218.96
2022-09-07,1304,13,7,92,374.72
2019-10-25,1447,19,6,749,243.83
2020-09-21,1353,1,2,80,183.35
2023-03-27,507,39,6,744,165.63
2023-10-01,1184,18,6,97,308.54
2020-11-24,128,23,8,821,247.85
2021-08-16,630,25,2,200,299.48
2020-12-17,1319,45,9,145,45.45
2020-10-02,1430,40,1,629,339.36
2019-12-27,1971,43,1,904,379.26
2020-06-22,265,17,5,113,157.61
2021-12-20,660,42,10,500,219.73
2019-05-03,1938,22,5,658,26.76
2023-07-22,1483,36,8,640,385.87
2021-05-08,545,37,8,426,275.16
2019-08-20,892,16,1,877,20.52
2022-03-11,1269,26,2,404,133.76
2020-09-17,1311,32,8,222,169.38
2021-11-18,1005,18,1,922,167.91
2022-03-17,1884,50,6,705,77.16
2020-07-02,1380,37,10,306,346.09
2022-12-19,36,30,5,867,7.62
2020-10-23,1137,21,10,829,5.23
2021-07-14,514,25,9,707,314.7
2019-05-08,66,16,2,730,27.72
2023-09-15,362,9,3,342,376.44
2019-11-10,1489,35,4,867,390.23
2021-02-18,1549,32,10,296,67.56
2023-10-28,1942,38,6,774,384.14
2023-04-11,873,10,9,456,321.25
2020-09-03,1047,2,10,174,249.98
2019-12-22,929,24,7,660,8.86
2022-06-17,641,34,3,745,325.71
2022-02-15,1060,29,5,671,164.37
2023-12-15,935,39,9,893,319.61
2020-12-01,996,30,6,155,386.62
2020-06-20,445,41,6,629,99.63
2021-08-22,419,31,10,407,279.58
2020-04-19,1906,46,9,52,238.49
2021-07-21,1677,40,10,365,353.33
2019-03-17,1133,48,3,366,211.37
2021-07-23,854,16,10,999,191.0
2019-10-05,1888,30,2,191,98.15
2019-07-22,1599,35,8,883,232.55
2019-09-23,1067,38,5,263,358.63
2022-10-11,1524,11,5,114,311.75
2022-02-22,471,43,5,409,203.18
2022-09-05,232,6,9,474,200.44
2021-04-29,451,18,4,402,15.52
2022-06-26,139,45,9,858,307.82
2023-11-15,669,7,8,278,341.95
2022-12-21,821,15,9,584,177.43
2020-09-11,1065,43,1,686,376.25
2021-10-15,346,29,1,637,232.22
2019-05-19,1229,38,7,96,95.86
2021-11-05,806,4,8,420,155.53
2019-06-02,1360,29,2,592,301.51
2019-11-07,1525,16,9,664,100.89
2021-08-20,387,16,2,843,231.24
2019-07-13,1534,50,7,453,83.67
2021-07-11,85,5,2,574,231.29
2022-04-12,556,18,10,177,90.68
2022-03-08,1471,21,5,463,166.61
2023-09-30,134,25,6,941,158.53
2022-02-20,933,1,2,724,70.85
2023-08-19,463,36,9,658,170.74
2022-04-10,1753,42,3,150,26.81
2022-09-20,120,43,8,736,395.12
2023-01-17,1659,6,1,750,106.13
2022-08-27,1949,4,4,557,289.14
2019-12-01,1247,4,4,636,286.29
2020-09-03,1101,1,10,785,277.83
2023-11-16,359,33,9,786,362.4
2023-12-14,1623,3,5,853,45.64
2022-10-24,29,7,9,386,24.13
2020-04-22,1566,16,6,136,21.92
2019-02-09,222,23,3,63,196.55
2023-09-30,614,16,9,996,366.2
2020-08-09,1635,1,2,925,227.38
2023-08-28,1781,45,7,430,148.59
2021-01-19,973,2,7,971,189.72
2019-11-05,1414,44,4,980,101.73
2022-09-13,822,44,8,999,293.41
2023-10-11,179,11,3,506,311.75
2021-12-24,755,42,6,883,103.57
2021-06-15,1690,1,8,913,314.54
2021-07-23,12,14,6,508,98.94
2022-08-02,785,2,3,498,155.92
2019-07-31,1364,32,1,363,25.04
2020-03-02,1838,30,5,762,57.59
2022-07-26,1552,32,2,176,124.87
2021-01-31,1643,16,2,80,203.6
2019-09-02,1710,43,7,898,345.27
2020-05-06,148,27,6,172,327.67
2019-01-31,1252,37,8,537,297.6
2021-09-09,1769,30,8,272,129.17
2023-09-29,1899,1,6,437,301.12
2022-04-18,104,11,10,458,266.56
2022-11-14,974,33,6,817,165.66
2019-10-30,114,29,8,704,310.08
2022-01-28,364,28,1,371,262.42
2019-01-17,1360,29,9,284,172.25
2019-02-16,615,46,2,622,149.89
2019-04-29,902,18,3,56,310.99
2021-12-15,494,38,7,164,17.75
2019-02-16,958,11,9,440,64.22
2023-10-21,231,18,10,869,38.13
2022-01-02,1239,26,10,323,371.28
2023-04-13,119,44,3,793,58.69
2022-12-19,259,23,2,385,228.41
2019-02-25,1531,35,4,904,335.69
2023-05-21,346,36,3,745,241.24
2021-02-01,1676,10,9,869,90.89
2019-11-23,580,25,5,434,162.09
2019-05-16,1640,23,5,916,342.25
2021-07-17,1799,14,7,165,336.39
2019-11-17,153,46,3,297,337.46
2023-04-16,680,18,4,566,217.35
2020-04-04,1537,32,8,616,194.09
2023-09-13,1658,7,5,453,163.76
2021-05-05,1129,15,10,74,66.79
2019-07-27,508,44,4,433,45.8
2019-07-28,624,33,1,557,90.61
