Order_ID,Date,Product_ID,Customer_ID,Store_ID,Return_Date,Return_Quantity,Return_Reason
75722,2020-03-24,1003,311,48,2020-04-09,1,Changed Mind
80185,2022-04-08,395,2992,88,2022-04-21,1,Defective
19865,2022-05-07,1430,2095,73,2022-05-24,1,Defective
76700,2020-03-14,1048,1694,29,2020-03-19,1,Changed Mind
92992,2023-06-02,69,4010,5,2023-06-25,1,Wrong Item
76435,2020-12-23,332,3989,95,2021-01-01,1,Wrong Item
84005,2019-10-04,1680,1955,73,2019-10-07,1,Changed Mind
80918,2022-12-12,504,3685,78,2023-01-08,1,Defective
60768,2022-06-04,557,982,9,2022-06-25,1,Defective
50075,2021-09-22,1919,3424,51,2021-10-01,1,Changed Mind
27702,2022-10-31,22,119,1,2022-11-05,1,Wrong Item
42142,2023-02-03,1980,1162,66,2023-02-05,1,Defective
45081,2021-02-02,1497,2181,80,2021-02-17,1,Defective
16639,2020-05-12,472,2755,48,2020-05-17,1,Defective
20425,2023-03-09,104,2007,86,2023-03-17,1,Defective
88703,2020-03-22,1722,4698,77,2020-04-10,1,Defective
150,2019-08-10,991,4110,32,2019-08-24,1,Defective
1762,2020-01-05,617,561,80,2020-01-15,1,Wrong Item
63121,2020-05-25,427,2102,62,2020-06-15,1,Defective
69162,2023-12-28,970,1604,38,2023-12-29,1,Changed Mind
64884,2023-06-03,192,2961,41,2023-06-10,1,Changed Mind
2496,2022-01-04,1011,4333,82,2022-01-25,1,Defective
80297,2019-09-11,1655,4336,81,2019-09-30,1,Changed Mind
19448,2019-01-04,382,4246,84,2019-01-22,1,Changed Mind
41332,2019-04-30,1542,372,12,2019-05-16,1,Defective
14889,2023-04-14,728,2566,46,2023-05-13,1,Defective
88637,2021-12-05,946,3796,24,2022-01-01,1,Defective
94893,2023-10-23,1626,1451,74,2023-11-04,1,Defective
92732,2020-07-15,1989,431,74,2020-08-09,1,Defective
29131,2019-07-17,298,180,44,2019-08-15,1,Changed Mind
79023,2021-12-19,399,912,17,2021-12-28,1,Defective
84937,2021-06-08,440,1713,5,2021-06-20,1,Defective
16822,2022-08-03,483,1569,18,2022-08-31,1,Defective
36734,2021-01-29,445,883,87,2021-02-02,1,Wrong Item
15603,2020-09-03,1818,590,28,2020-09-11,1,Defective
28534,2020-09-27,353,4493,23,2020-10-19,1,Defective
69770,2022-06-07,1180,3658,3,2022-06-23,1,Wrong Item
11406,2021-04-21,132,1431,50,2021-05-02,1,Defective
96853,2023-12-25,1753,1189,18,2024-01-19,1,Changed Mind
16131,2019-08-19,728,1725,55,2019-09-03,1,Wrong Item
19793,2020-12-25,254,1866,36,2020-12-31,1,Wrong Item
89578,2020-06-30,1016,2688,90,2020-07-26,1,Changed Mind
40164,2023-06-27,1193,1742,3,2023-07-18,1,Changed Mind
31777,2020-07-29,1512,4814,42,2020-08-06,1,Changed Mind
25331,2020-01-04,133,2509,53,2020-01-08,1,Wrong Item
79157,2019-01-02,798,3035,70,2019-01-20,1,Changed Mind
51686,2020-07-29,1645,4202,37,2020-08-02,1,Defective
75499,2021-10-26,1030,4324,24,2021-11-08,1,Defective
4728,2019-12-22,878,1848,5,2020-01-19,1,Changed Mind
85199,2019-06-01,997,308,37,2019-06-21,1,Wrong Item
35796,2020-11-13,1532,4650,86,2020-12-08,1,Changed Mind
12257,2023-05-25,1089,1964,23,2023-05-30,1,Defective
