Order_ID,Date,Product_ID,Customer_ID,Store_ID,Quantity,Discount_Pct
1,2019-10-27,1122,3560,1,6,0.0
2,2023-03-30,1948,344,32,9,0.1
3,2021-01-18,1396,4504,67,5,0.0
4,2019-10-12,997,4265,6,8,0.0
5,2019-11-26,1176,1634,44,2,0.0
6,2019-02-19,1949,4385,70,5,0.0
7,2021-02-11,1105,2586,24,5,0.0
8,2023-07-04,1895,2615,91,9,0.0
9,2023-09-29,1041,3291,19,8,0.0
10,2020-01-13,1637,3282,93,7,0.0
11,2023-11-23,1094,3399,69,4,0.0
12,2023-06-12,512,4888,69,2,0.2
13,2021-09-26,832,1887,67,2,0.0
14,2023-04-11,874,999,70,9,0.0
15,2021-02-12,1893,4168,32,8,0.1
16,2022-03-13,238,3141,95,1,0.05
17,2021-12-19,415,3552,54,4,0.0
18,2021-05-17,57,2448,42,2,0.0
19,2023-12-09,1428,897,45,2,0.0
20,2022-01-03,1454,4176,25,2,0.2
21,2019-01-03,1154,1360,36,1,0.0
22,2023-05-18,617,3397,32,7,0.05
23,2021-01-17,594,3121,31,5,0.0
24,2023-01-11,50,4043,84,7,0.0
25,2023-10-31,1980,3017,53,2,0.0
26,2019-10-02,470,875,89,1,0.1
27,2023-04-03,809,3762,98,9,0.0
28,2023-06-04,485,4932,82,9,0.2
29,2019-08-03,1882,3486,19,4,0.0
30,2023-09-03,1522,910,28,1,0.0
31,2023-02-17,332,2070,91,3,0.0
32,2019-11-25,966,1346,18,2,0.0
33,2019-09-12,145,580,73,4,0.05
34,2022-11-11,206,2016,3,2,0.1
35,2019-05-06,906,3909,29,8,0.0
36,2021-02-05,90,4451,80,3,0.0
37,2023-05-27,1907,2172,53,7,0.0
38,2023-04-23,1475,1319,95,3,0.0
39,2022-09-09,170,1921,45,8,0.05
40,2022-05-12,1262,28,39,2,0.0
41,2022-04-10,463,1238,14,6,0.1
42,2023-10-25,1424,2381,86,5,0.0
43,2019-08-05,1190,1344,75,7,0.0
44,2022-06-22,654,3271,82,5,0.0
45,2022-09-21,420,28,13,1,0.0
46,2023-09-23,397,768,92,5,0.0
47,2022-08-14,1211,3151,90,9,0.0
48,2021-04-11,1691,3693,71,1,0.0
49,2019-07-01,1288,1220,42,9,0.0
50,2019-11-30,1111,2544,85,2,0.2
51,2020-05-25,1257,1184,30,4,0.0
52,2020-01-18,309,448,68,8,0.0
53,2023-10-07,715,2690,81,9,0.05
54,2022-05-07,133,2277,99,3,0.0
55,2019-11-28,1669,3005,2,7,0.0
56,2022-04-03,1497,1184,74,8,0.0
57,2022-06-19,1874,1366,20,2,0.0
58,2021-06-18,304,293,40,5,0.0
59,2020-10-03,1783,4464,80,6,0.0
60,2022-06-04,1786,3439,29,2,0.0
61,2020-09-25,1779,3783,12,5,0.05
62,2023-04-29,280,3512,14,3,0.05
63,2020-03-26,201,999,49,7,0.2
64,2019-07-15,491,2504,78,4,0.0
65,2022-05-12,1995,349,42,3,0.0
66,2020-04-02,1742,486,65,9,0.0
67,2021-04-09,298,4181,56,1,0.0
68,2019-09-14,1161,4283,57,5,0.0
69,2023-04-02,448,2095,55,3,0.0
70,2022-07-19,197,1078,39,2,0.0
71,2019-01-09,1914,1103,25,3,0.05
72,2021-01-30,1115,987,41,7,0.0
73,2021-08-06,1931,2938,95,4,0.0
74,2022-05-09,732,2330,94,8,0.05
75,2021-12-18,1673,1292,6,4,0.05
76,2021-06-05,1869,2023,68,3,0.0
77,2020-01-28,61,1031,76,1,0.1
78,2023-08-03,851,2410,69,1,0.0
79,2022-02-16,72,4608,34,3,0.1
80,2023-04-26,823,2832,52,9,0.0
81,2020-02-03,452,3011,63,4,0.0
82,2019-11-27,1900,1539,85,6,0.05
83,2022-07-14,1817,804,37,2,0.0
84,2023-03-24,1663,3837,85,1,0.0
85,2023-09-15,199,243,31,7,0.0
86,2020-04-24,824,2387,84,1,0.1
87,2019-05-14,283,1100,53,2,0.05
88,2023-09-13,1779,4253,95,8,0.0
89,2021-07-04,1175,4444,87,7,0.1
90,2021-07-23,1064,162,16,5,0.0
91,2019-12-21,371,3966,45,5,0.05
92,2020-08-06,477,295,77,1,0.05
93,2023-03-02,58,4010,2,9,0.0
94,2020-09-16,548,1271,12,4,0.0
95,2022-02-04,1277,3144,87,4,0.0
96,2019-10-17,714,2542,83,5,0.05
97,2021-04-04,416,435,4,5,0.0
98,2020-09-20,239,3990,44,3,0.0
99,2021-10-15,384,3912,22,6,0.0
100,2020-09-23,407,1181,21,2,0.05
101,2022-03-16,1192,3246,96,5,0.0
102,2019-11-23,111,2638,75,7,0.0
103,2022-12-09,1456,4469,100,6,0.0
104,2019-07-29,1944,2022,37,1,0.0
105,2022-08-12,1749,2555,76,6,0.05
106,2022-11-22,1703,674,96,5,0.0
107,2022-01-31,1320,991,72,8,0.0
108,2020-09-27,285,1741,60,4,0.0
109,2023-11-16,301,3406,63,6,0.05
110,2023-03-12,1901,3351,9,4,0.1
111,2021-05-17,603,1092,19,3,0.0
112,2022-05-17,1533,379,94,8,0.0
113,2020-03-03,546,1342,44,3,0.0
114,2020-01-28,1114,3583,79,5,0.0
115,2021-04-05,1524,1179,46,2,0.05
116,2021-07-04,1551,401,9,2,0.0
117,2022-02-06,582,2622,36,4,0.0
118,2019-12-14,1753,1939,21,2,0.0
119,2019-02-19,850,3876,79,7,0.0
120,2021-07-04,1095,4890,71,9,0.0
121,2022-02-02,642,1742,30,2,0.0
122,2022-12-14,354,2085,47,7,0.2
123,2022-10-28,641,4581,83,4,0.05
124,2021-11-16,633,4309,20,7,0.0
125,2021-08-25,182,1451,49,7,0.0
126,2021-03-10,1149,2492,31,4,0.1
127,2023-11-28,110,3092,49,3,0.0
128,2022-07-20,1410,2512,11,4,0.0
129,2021-10-13,1770,507,9,2,0.0
130,2020-10-10,164,4806,35,3,0.05
131,2022-09-25,1988,2796,15,7,0.0
132,2019-10-28,1564,3544,9,1,0.0
133,2023-02-12,1239,1002,4,2,0.0
134,2023-04-17,103,4216,83,3,0.0
135,2023-04-30,404,2684,53,6,0.05
136,2022-07-12,1189,2454,89,9,0.0
137,2023-04-15,1595,1953,60,2,0.0
138,2023-06-08,1068,3007,33,2,0.0
139,2019-06-15,1164,2465,23,5,0.0
140,2019-11-12,1056,4072,22,6,0.05
141,2019-01-01,249,1616,17,4,0.0
142,2021-10-16,806,3021,35,4,0.0
143,2023-11-20,543,731,82,4,0.0
144,2022-07-08,530,554,74,2,0.0
145,2019-03-04,1693,2556,54,2,0.0
146,2020-04-27,1762,1226,58,4,0.0
147,2023-08-27,1843,3432,1,9,0.0
148,2022-09-06,413,4045,65,6,0.0
149,2022-05-09,1627,3393,40,5,0.0
150,2019-08-10,991,4110,32,1,0.0
151,2019-06-01,831,4811,97,7,0.0
152,2020-10-05,880,1290,65,3,0.0
153,2020-09-17,1783,2753,79,5,0.0
154,2023-01-25,849,763,65,3,0.05
155,2019-08-05,532,4714,16,9,0.0
156,2019-07-15,1695,1097,3,6,0.0
157,2023-12-22,1055,1645,84,1,0.05
158,2022-05-10,698,4887,90,5,0.05
159,2021-09-21,999,2829,96,6,0.05
160,2021-10-11,1877,2760,83,3,0.0
161,2020-10-08,391,650,90,1,0.2
162,2022-06-11,224,4494,71,2,0.0
163,2022-03-10,1527,4517,58,3,0.0
164,2020-12-08,1804,4166,67,2,0.0
165,2023-03-02,983,2948,44,9,0.0
166,2023-04-28,957,2697,93,2,0.1
167,2021-12-16,1579,2317,37,2,0.0
168,2023-03-08,509,63,81,6,0.0
169,2022-03-11,49,632,7,6,0.0
170,2020-12-22,1387,3362,99,4,0.05
171,2023-05-27,808,2007,59,9,0.05
172,2023-10-26,710,508,38,8,0.0
