Order_ID,Date,ShippingMethod_ID,Warehouse_ID,Delivery_Days,Shipping_Cost,Late_Flag
83514,2019-10-04,1,9,3,37.65,1
24102,2021-10-14,1,9,11,41.07,0
7037,2019-02-09,1,7,3,10.84,0
85558,2022-06-09,3,3,13,14.45,1
94525,2022-10-04,2,4,4,17.74,1
54839,2020-03-08,2,3,12,29.38,0
13618,2023-08-21,1,1,6,32.27,0
75389,2021-08-13,3,8,8,41.78,0
44941,2019-11-13,1,2,7,9.27,0
51378,2019-12-15,3,2,1,19.76,0
30716,2019-07-10,3,4,3,9.74,0
62342,2022-02-11,1,8,12,31.77,0
81950,2021-03-02,3,3,1,31.39,0
57252,2019-04-07,3,8,2,40.43,0
55983,2021-08-22,1,6,13,27.81,0
89724,2021-02-24,1,8,1,4.24,0
86761,2023-07-15,3,1,4,48.51,0
81642,2021-01-04,1,3,10,48.93,1
4622,2022-03-21,3,10,13,26.46,0
16496,2020-07-03,2,8,8,17.18,0
59266,2019-11-17,3,1,1,45.88,0
38552,2020-04-22,2,9,8,25.81,0
65707,2019-07-29,2,5,13,17.62,0
56229,2020-03-11,2,5,5,20.11,0
26360,2022-06-27,1,3,8,32.37,0
73811,2023-12-30,1,5,4,10.86,0
16352,2019-05-03,1,3,13,32.08,0
59895,2023-09-07,2,6,6,12.4,1
6941,2021-10-10,3,5,7,39.13,0
43360,2019-11-04,1,4,13,41.21,0
14286,2023-02-01,1,9,2,23.47,1
40887,2019-05-01,3,7,2,6.6,0
6215,2019-06-02,1,6,6,13.13,0
45622,2019-11-14,3,9,11,31.49,0
19546,2019-09-26,1,10,10,26.92,0
33563,2020-02-15,2,10,12,44.36,0
6227,2020-06-26,2,7,9,47.35,0
3612,2019-09-24,2,4,4,32.35,1
96785,2023-01-26,2,8,6,28.21,1
49132,2020-06-05,1,9,2,16.99,0
34532,2023-01-15,2,6,12,12.81,0
70795,2019-09-11,1,4,10,3.56,0
70728,2020-06-09,3,3,12,45.85,0
92910,2019-01-25,1,10,10,31.85,0
57643,2022-12-13,1,4,12,26.35,0
26071,2021-09-20,2,9,2,18.26,0
32590,2020-11-27,2,2,4,8.46,1
33511,2023-11-12,2,2,4,45.73,0
79536,2021-07-31,1,4,10,23.4,0
35874,2020-11-01,1,8,10,33.02,0
18204,2022-07-20,1,9,11,17.88,0
85880,2021-07-18,2,10,7,7.84,0
32580,2019-03-20,3,3,12,43.06,1
87449,2021-10-28,1,6,8,41.28,1
84248,2020-10-22,2,10,6,42.33,0
77612,2019-06-04,2,3,1,39.86,0
61909,2021-09-25,3,2,12,25.84,0
85508,2022-06-21,2,4,6,33.66,0
55905,2019-01-16,2,9,12,5.2,0
28109,2023-04-20,3,1,3,20.87,0
71055,2020-11-25,1,2,2,39.46,0
98188,2022-08-10,3,9,4,12.91,0
40992,2023-07-11,1,7,6,16.61,1
36354,2021-02-11,2,9,5,42.2,0
12151,2020-02-04,3,10,11,11.92,0
8148,2020-08-08,3,2,11,40.49,0
53634,2020-10-27,1,7,8,42.04,0
74419,2022-05-28,1,5,4,19.86,0
25658,2022-01-10,2,5,5,31.3,0
77210,2020-12-07,2,4,2,7.08,0
33714,2021-03-25,1,7,5,23.12,1
19929,2023-05-23,3,3,11,39.14,1
86515,2023-04-20,3,1,8,38.89,0
1728,2019-10-29,3,2,5,41.48,0
83873,2021-05-28,2,4,7,31.35,0
89761,2021-03-07,3,5,3,23.03,1
82026,2022-06-05,1,4,13,48.78,0
73824,2023-01-29,1,1,9,37.71,1
62073,2019-02-23,2,5,5,37.31,0
53986,2020-09-23,3,9,6,42.0,0
52455,2021-05-22,2,4,12,42.81,0
90686,2019-03-06,3,3,12,25.66,0
70244,2021-09-23,2,5,8,35.6,0
96846,2021-11-23,2,6,12,22.8,0
30227,2022-02-25,1,5,13,32.45,0
52270,2020-11-04,1,5,6,30.77,0
88967,2020-12-20,2,5,8,32.43,0
20035,2019-01-13,1,6,13,8.42,0
55380,2020-10-22,3,8,9,33.13,0
76009,2021-02-16,3,7,9,39.34,1
6807,2022-04-10,2,1,1,41.52,0
46201,2021-02-06,3,3,2,33.19,1
12945,2022-02-04,1,8,1,37.41,0
34322,2021-01-14,2,4,11,35.57,0
19331,2023-06-03,2,3,7,48.75,0
85593,2023-06-22,3,6,7,38.42,0
33054,2019-12-01,1,10,12,48.65,0
85625,2023-05-08,2,1,8,32.39,0
32892,2019-11-28,2,4,2,10.05,0
28878,2021-02-04,2,6,2,21.19,0
8163,2019-03-09,1,8,7,11.91,0
