Date,Campaign_ID,Sessions,Page_Views,Bounces
2021-03-24,9,2669,10860,157
2023-05-08,6,4961,3872,171
2019-05-05,9,948,2429,299
2021-01-11,2,200,9483,332
2022-06-28,18,2939,4087,192
2023-06-13,14,3333,7699,258
2022-07-02,27,4890,4640,305
2022-10-24,30,746,10282,297
2023-06-18,23,3657,11528,433
2023-01-26,14,3442,12642,12
2020-05-12,8,104,4770,480
2021-05-17,18,855,8896,399
2019-06-20,7,4091,6739,48
2023-03-16,2,3454,5752,458
2022-05-27,25,2466,7360,34
2019-05-24,26,2467,4192,353
2022-03-09,28,4635,9039,185
2022-07-18,24,1826,535,176
2022-06-30,20,3306,5069,233
2020-09-05,2,3826,658,188
2023-06-30,28,1748,6588,439
2019-11-16,1,2442,4563,149
2021-07-18,17,3406,8277,223
2022-04-07,11,4637,11997,102
2021-03-21,11,3815,12483,370
2022-02-03,21,4310,4024,33
2019-06-14,18,2213,13030,30
2022-01-14,19,4355,1502,65
2020-03-13,16,2793,362,344
2022-08-10,25,1057,2520,231
2021-03-03,29,261,653,287
2023-09-27,15,3186,10406,22
2019-03-09,20,742,11827,186
2020-04-08,6,110,14347,243
2021-04-27,5,156,3663,240
2020-04-05,13,172,13920,17
2022-09-01,1,2536,2037,115
2021-08-28,23,1089,10760,304
2023-12-15,23,2873,3087,445
2021-12-31,21,413,5529,360
2021-04-19,9,2069,14438,448
2022-09-03,29,3704,1438,38
2019-04-07,15,334,564,368
2020-08-02,16,1813,8162,269
2022-05-05,13,1597,6782,123
2021-08-27,20,2251,7712,329
2023-05-20,18,3890,1708,244
2023-11-08,11,1640,9239,228
2020-11-08,19,2355,6902,195
2020-02-26,19,4496,11339,219
2021-09-08,2,1344,14280,355
2020-06-26,19,2624,4169,138
2019-11-22,9,274,12758,157
2021-11-05,22,2615,5843,396
2021-06-15,2,2686,13815,346
2020-04-26,22,1749,5973,376
2023-08-03,10,3044,234,280
2022-08-17,25,2652,10358,136
2022-05-16,8,1515,3144,45
2021-02-25,8,2900,8127,446
2022-06-17,21,3800,9505,88
2023-08-22,30,2136,902,154
2021-01-13,10,4040,7141,353
2019-06-17,23,3229,4697,385
2022-01-20,21,4523,5252,477
2019-01-08,1,2475,12537,330
2023-01-04,4,447,14568,52
2019-11-11,2,1917,2311,247
2022-09-22,6,1916,3097,397
2023-06-23,7,3327,5577,98
2020-08-28,3,4654,2790,168
2022-02-18,1,3099,5996,222
2023-06-02,15,2328,3715,260
2022-05-14,26,3195,6090,272
2021-06-10,8,4968,3057,34
2021-10-25,12,3734,14371,463
2022-05-05,19,2881,6572,183
2021-06-20,11,896,11354,73
2020-09-27,2,3911,14268,152
2019-05-25,4,492,6692,499
2019-11-01,12,2342,9624,417
2021-04-24,8,1967,1780,155
2019-03-31,28,3032,13892,26
2021-08-12,2,1082,6436,283
2020-03-20,22,1148,2948,428
2022-02-20,19,3618,7270,155
2019-12-08,6,1277,8487,60
2021-04-24,13,4204,9095,321
2019-08-21,28,2911,7793,177
2023-07-17,8,899,1216,405
2019-11-08,17,3037,3447,304
2019-02-26,25,1414,13064,328
2023-01-22,29,115,8141,23
2019-11-29,4,1386,13142,263
2023-12-11,8,2239,12449,374
2021-04-30,29,2723,13182,471
2020-09-23,13,1816,7567,197
2019-09-14,30,411,5820,369
2019-08-29,10,3279,5829,253
2021-12-04,15,288,7112,479
2019-10-02,23,1698,2234,116
2021-06-16,22,2183,6398,451
2021-08-17,20,2359,12002,185
2023-01-27,13,1148,995,55
2021-10-27,29,3523,8050,125
2019-05-04,5,3718,2729,304
2022-09-10,9,1738,7751,345
2022-04-12,15,2630,5682,286
2023-12-17,23,576,2905,178
2023-07-08,13,2193,5017,45
2022-08-12,20,1069,8222,438
2022-05-15,13,1936,11673,60
2020-06-17,10,3908,2662,385
2019-04-23,9,3338,910,409
2019-06-02,9,1646,534,185
2022-07-19,26,4462,8854,38
2020-03-14,30,2815,13908,358
2021-10-25,19,4486,4119,240
2020-03-14,4,1814,12248,277
2021-10-30,26,749,3015,104
2023-08-30,10,3707,1626,68
2021-04-08,27,2639,13314,470
